L1-dcache-load-misses,LLC-loads,branch-misses,branches,context-switches,cpu-migrations,cycles,instructions,name,page-faults,stalled-cycles-frontend,task-clock,opt
1118009,470349,1117016,32338369,1,0,140872028.0,139842837,483.xalancbmk/BinFileInputStream.ii,1888,75953830,41.596604,Ofast
1090321,452176,1066564,31809916,1,0,141301240.0,140205996,483.xalancbmk/BinFileOutputStream.ii,1895,75738762,40.77107,Ofast
412986,200951,226593,10370650,1,0,23611683.0,47611068,483.xalancbmk/BinHTTPURLInputStream.ii,1249,13726321,9.875555,Ofast
552402,219677,396150,13855486,1,0,55744043.0,50833800,483.xalancbmk/BinInputStream.ii,1614,27517345,17.176067,Ofast
721926,271366,640560,24370802,1,0,105394324.0,114596795,483.xalancbmk/BinMemInputStream.ii,1807,59850055,30.654169,Ofast
1056843,437721,1072788,31688148,1,0,142670192.0,138503115,483.xalancbmk/BinMemOutputStream.ii,1884,78068289,41.53754,Ofast
552143,218736,400020,13914809,1,0,55212035.0,50819999,483.xalancbmk/BinOutputStream.ii,1616,27993139,17.051258,Ofast
2791197,1109718,3485886,89619123,1,0,374559285.0,391037908,483.xalancbmk/BitSet.ii,1952,192449534,101.885966,Ofast
1358762,524278,1209667,48246009,1,0,210209766.0,217688701,483.xalancbmk/BlockRangeFactory.ii,2121,125172096,58.37542,Ofast
4457153,1875395,4504399,109549246,1,0,544170763.0,496649304,483.xalancbmk/BooleanDatatypeValidator.ii,2490,321424094,144.632649,Ofast
1360860,528957,1134008,35662882,1,0,175263574.0,161978484,483.xalancbmk/CDATASectionImpl.ii,1997,111761814,49.264492,Ofast
2594888,1104633,2381254,63554275,1,0,348876716.0,289279626,483.xalancbmk/CMAny.ii,2466,217669332,98.307003,Ofast
2985558,1314483,2795260,74963444,1,0,404992040.0,352180929,483.xalancbmk/CMBinaryOp.ii,2430,252792109,110.610162,Ofast
2693495,1187249,2599507,67038977,1,0,357875642.0,296129449,483.xalancbmk/CMUnaryOp.ii,2476,213781373,100.263012,Ofast
415130,201269,225726,10362341,1,0,23602945.0,47527695,483.xalancbmk/CSetDefs.ii,1249,13780155,9.912431,Ofast
1222566,485253,1200139,34033003,1,0,141452935.0,153030753,483.xalancbmk/CharToken.ii,1818,69169418,41.869921,Ofast
2212638,885382,2255527,54104413,1,0,278621171.0,253011246,483.xalancbmk/CharacterDataImpl.ii,2159,167971149,77.60233,Ofast
696793,314807,565877,21150452,1,0,87493990.0,97766255,483.xalancbmk/ChildNode.ii,1707,49748773,25.807162,Ofast
1241029,483576,1214097,34372853,1,0,140941293.0,152887406,483.xalancbmk/ClosureToken.ii,1820,70739683,42.319659,Ofast
1348627,543479,1162776,32943825,1,0,180485774.0,134232827,483.xalancbmk/CommentImpl.ii,1989,102911351,48.123021,Ofast
11117136,4703045,10589908,270661159,1,0,1298018600.0,1228721516,483.xalancbmk/ComplexTypeInfo.ii,3826,760613918,344.000935,Ofast
